


at:8	acertos:91.56	micro:0.95	macro:0.92	1600 selecionados	class weka.classifiers.lazy.IBk
at:8	acertos:91.11	micro:0.94	macro:0.91	1600 selecionados	class weka.classifiers.lazy.IBk



at:8	acertos:87.88	micro:0.91	macro:0.89	1700 selecionados	class weka.classifiers.functions.SMO
at:8	acertos:34.56	micro:0.51	macro:0.49	1700 selecionados	class weka.classifiers.misc.HyperPipes
at:8	acertos:91.65	micro:0.95	macro:0.92	1700 selecionados	class weka.classifiers.lazy.IBk
at:8	acertos:91.11	micro:0.94	macro:0.91	1700 selecionados	class weka.classifiers.lazy.IBk



at:8	acertos:87.88	micro:0.91	macro:0.89	1800 selecionados	class weka.classifiers.functions.SMO
at:8	acertos:34.65	micro:0.51	macro:0.49	1800 selecionados	class weka.classifiers.misc.HyperPipes
at:8	acertos:91.74	micro:0.95	macro:0.92	1800 selecionados	class weka.classifiers.lazy.IBk
at:8	acertos:91.2	micro:0.95	macro:0.91	1800 selecionados	class weka.classifiers.lazy.IBk



at:8	acertos:87.97	micro:0.91	macro:0.89	1900 selecionados	class weka.classifiers.functions.SMO
at:8	acertos:34.65	micro:0.51	macro:0.49	1900 selecionados	class weka.classifiers.misc.HyperPipes
at:8	acertos:91.74	micro:0.95	macro:0.92	1900 selecionados	class weka.classifiers.lazy.IBk
at:8	acertos:91.11	micro:0.94	macro:0.91	1900 selecionados	class weka.classifiers.lazy.IBk



at:8	acertos:87.97	micro:0.91	macro:0.89	2000 selecionados	class weka.classifiers.functions.SMO
at:8	acertos:34.65	micro:0.51	macro:0.49	2000 selecionados	class weka.classifiers.misc.HyperPipes
at:8	acertos:91.65	micro:0.95	macro:0.92	2000 selecionados	class weka.classifiers.lazy.IBk
at:8	acertos:91.11	micro:0.94	macro:0.91	2000 selecionados	class weka.classifiers.lazy.IBk



at:8	acertos:88.06	micro:0.92	macro:0.89	2100 selecionados	class weka.classifiers.functions.SMO
at:8	acertos:34.74	micro:0.52	macro:0.49	2100 selecionados	class weka.classifiers.misc.HyperPipes
at:8	acertos:91.74	micro:0.95	macro:0.92	2100 selecionados	class weka.classifiers.lazy.IBk
at:8	acertos:91.02	micro:0.94	macro:0.91	2100 selecionados	class weka.classifiers.lazy.IBk



at:8	acertos:88.06	micro:0.92	macro:0.89	2200 selecionados	class weka.classifiers.functions.SMO
at:8	acertos:34.74	micro:0.52	macro:0.49	2200 selecionados	class weka.classifiers.misc.HyperPipes
at:8	acertos:91.74	micro:0.95	macro:0.92	2200 selecionados	class weka.classifiers.lazy.IBk
at:8	acertos:90.93	micro:0.94	macro:0.91	2200 selecionados	class weka.classifiers.lazy.IBk



at:8	acertos:88.06	micro:0.92	macro:0.89	2300 selecionados	class weka.classifiers.functions.SMO
at:8	acertos:34.74	micro:0.52	macro:0.49	2300 selecionados	class weka.classifiers.misc.HyperPipes
at:8	acertos:91.74	micro:0.95	macro:0.92	2300 selecionados	class weka.classifiers.lazy.IBk
at:8	acertos:91.11	micro:0.94	macro:0.91	2300 selecionados	class weka.classifiers.lazy.IBk



at:8	acertos:88.06	micro:0.92	macro:0.89	2400 selecionados	class weka.classifiers.functions.SMO
at:8	acertos:34.74	micro:0.52	macro:0.49	2400 selecionados	class weka.classifiers.misc.HyperPipes
at:8	acertos:91.74	micro:0.95	macro:0.92	2400 selecionados	class weka.classifiers.lazy.IBk
at:8	acertos:91.11	micro:0.94	macro:0.91	2400 selecionados	class weka.classifiers.lazy.IBk



at:8	acertos:88.06	micro:0.92	macro:0.89	2500 selecionados	class weka.classifiers.functions.SMO
at:8	acertos:34.65	micro:0.51	macro:0.49	2500 selecionados	class weka.classifiers.misc.HyperPipes
at:8	acertos:91.83	micro:0.95	macro:0.92	2500 selecionados	class weka.classifiers.lazy.IBk
at:8	acertos:91.11	micro:0.94	macro:0.91	2500 selecionados	class weka.classifiers.lazy.IBk



at:8	acertos:87.97	micro:0.91	macro:0.89	2600 selecionados	class weka.classifiers.functions.SMO
at:8	acertos:34.65	micro:0.51	macro:0.49	2600 selecionados	class weka.classifiers.misc.HyperPipes
at:8	acertos:91.83	micro:0.95	macro:0.92	2600 selecionados	class weka.classifiers.lazy.IBk
at:8	acertos:91.11	micro:0.94	macro:0.91	2600 selecionados	class weka.classifiers.lazy.IBk



at:8	acertos:88.15	micro:0.92	macro:0.89	2700 selecionados	class weka.classifiers.functions.SMO
at:8	acertos:34.65	micro:0.51	macro:0.49	2700 selecionados	class weka.classifiers.misc.HyperPipes
at:8	acertos:91.92	micro:0.95	macro:0.92	2700 selecionados	class weka.classifiers.lazy.IBk
at:8	acertos:91.11	micro:0.94	macro:0.91	2700 selecionados	class weka.classifiers.lazy.IBk



at:8	acertos:88.06	micro:0.92	macro:0.89	2800 selecionados	class weka.classifiers.functions.SMO
at:8	acertos:34.65	micro:0.51	macro:0.49	2800 selecionados	class weka.classifiers.misc.HyperPipes
at:8	acertos:91.92	micro:0.95	macro:0.92	2800 selecionados	class weka.classifiers.lazy.IBk
at:8	acertos:91.02	micro:0.94	macro:0.91	2800 selecionados	class weka.classifiers.lazy.IBk



at:8	acertos:88.06	micro:0.92	macro:0.89	2900 selecionados	class weka.classifiers.functions.SMO
at:8	acertos:34.65	micro:0.51	macro:0.49	2900 selecionados	class weka.classifiers.misc.HyperPipes
at:8	acertos:91.83	micro:0.95	macro:0.92	2900 selecionados	class weka.classifiers.lazy.IBk
at:8	acertos:91.02	micro:0.94	macro:0.91	2900 selecionados	class weka.classifiers.lazy.IBk



at:8	acertos:88.15	micro:0.92	macro:0.89	3000 selecionados	class weka.classifiers.functions.SMO
at:8	acertos:34.65	micro:0.51	macro:0.49	3000 selecionados	class weka.classifiers.misc.HyperPipes
at:8	acertos:91.92	micro:0.95	macro:0.92	3000 selecionados	class weka.classifiers.lazy.IBk
at:8	acertos:91.02	micro:0.94	macro:0.91	3000 selecionados	class weka.classifiers.lazy.IBk



at:8	acertos:88.15	micro:0.92	macro:0.89	3100 selecionados	class weka.classifiers.functions.SMO
at:8	acertos:34.65	micro:0.51	macro:0.49	3100 selecionados	class weka.classifiers.misc.HyperPipes
at:8	acertos:91.92	micro:0.95	macro:0.92	3100 selecionados	class weka.classifiers.lazy.IBk
at:8	acertos:91.02	micro:0.94	macro:0.91	3100 selecionados	class weka.classifiers.lazy.IBk



at:8	acertos:88.15	micro:0.92	macro:0.89	3200 selecionados	class weka.classifiers.functions.SMO
at:8	acertos:34.65	micro:0.51	macro:0.49	3200 selecionados	class weka.classifiers.misc.HyperPipes
at:8	acertos:92.01	micro:0.95	macro:0.92	3200 selecionados	class weka.classifiers.lazy.IBk
at:8	acertos:91.02	micro:0.94	macro:0.91	3200 selecionados	class weka.classifiers.lazy.IBk



at:8	acertos:88.15	micro:0.92	macro:0.89	3300 selecionados	class weka.classifiers.functions.SMO
at:8	acertos:34.65	micro:0.51	macro:0.49	3300 selecionados	class weka.classifiers.misc.HyperPipes
at:8	acertos:92.01	micro:0.95	macro:0.92	3300 selecionados	class weka.classifiers.lazy.IBk
at:8	acertos:91.02	micro:0.94	macro:0.91	3300 selecionados	class weka.classifiers.lazy.IBk



at:8	acertos:88.24	micro:0.92	macro:0.89	3400 selecionados	class weka.classifiers.functions.SMO
at:8	acertos:34.65	micro:0.51	macro:0.49	3400 selecionados	class weka.classifiers.misc.HyperPipes
at:8	acertos:92.01	micro:0.95	macro:0.92	3400 selecionados	class weka.classifiers.lazy.IBk
at:8	acertos:91.02	micro:0.94	macro:0.91	3400 selecionados	class weka.classifiers.lazy.IBk



at:8	acertos:88.24	micro:0.92	macro:0.89	3500 selecionados	class weka.classifiers.functions.SMO
at:8	acertos:34.65	micro:0.51	macro:0.49	3500 selecionados	class weka.classifiers.misc.HyperPipes
at:8	acertos:92.01	micro:0.95	macro:0.92	3500 selecionados	class weka.classifiers.lazy.IBk
at:8	acertos:91.02	micro:0.94	macro:0.91	3500 selecionados	class weka.classifiers.lazy.IBk



at:8	acertos:88.24	micro:0.92	macro:0.89	3600 selecionados	class weka.classifiers.functions.SMO
at:8	acertos:34.65	micro:0.51	macro:0.49	3600 selecionados	class weka.classifiers.misc.HyperPipes
at:8	acertos:92.01	micro:0.95	macro:0.92	3600 selecionados	class weka.classifiers.lazy.IBk
at:8	acertos:91.02	micro:0.94	macro:0.91	3600 selecionados	class weka.classifiers.lazy.IBk



at:8	acertos:88.33	micro:0.92	macro:0.9	3700 selecionados	class weka.classifiers.functions.SMO
at:8	acertos:34.65	micro:0.51	macro:0.49	3700 selecionados	class weka.classifiers.misc.HyperPipes
at:8	acertos:92.01	micro:0.95	macro:0.92	3700 selecionados	class weka.classifiers.lazy.IBk
at:8	acertos:91.02	micro:0.94	macro:0.91	3700 selecionados	class weka.classifiers.lazy.IBk



